parcelid,latitude,longitude
12154738,34209722,-118195634
12165966,34185715,-118142156
12194698,33967935,-118301858
12229313,33938101,-118240236
12261052,33893853,-118252759
12305098,33952639,-118200999
12312314,33938880,-118191966
12319582,33945050,-118151817
12365781,33972947,-118184505
12366003,33971613,-118178892
12381742,33985261,-118117950
12396136,33975189,-118084762
12397005,33968676,-118091671
12399215,33957535,-118101220
12423997,33854191,-118064816
12425118,33850965,-118074880
12428562,33838961,-118082456
12435372,33827538,-118104385
12435841,33826929,-118098990
12456430,33848433,-118174227
12460417,33844245,-118176027
12462848,33834743,-118178734
12473295,33854215,-118151144
12481222,33865821,-118139784
12490615,33835861,-118132282
12493241,33823790,-118109367
12494110,33822064,-118119181
12494625,33822731,-118127791
12531384,33764046,-118126949
12616619,33847193,-118252809
12621525,33808201,-118291197
12644031,33753449,-118298418
12644945,33749773,-118296746
12675403,33856157,-118367170
12690337,33794629,-118375154
12709722,33768869,-118401962
12713256,33769870,-118363371
12752141,33902073,-118004361
12755124,33896005,-118075667
12792459,33932434,-118020594
12803247,33978143,-118054795
12825462,33932434,-118001658
12835748,34022694,-117948513
12845930,33947080,-117929096
12869998,34089067,-117710186
12875159,34064525,-117733932
12879562,34025743,-117744408
12892677,34076140,-117763607
12903469,34095456,-117828196
12914976,34106663,-117914581
12933322,34076150,-117868569
12940416,34068148,-117957659
12944415,34068150,-117943222
12954578,34053590,-117910911
12967897,34157813,-118006054
13007675,34100666,-118065026
13016363,34147920,-117937830
13018949,34120304,-117909659
13024330,34114799,-117891737
13037644,34136325,-117854571
13046210,34127270,-117777221
13061285,34035682,-117776739
13071663,34028177,-117778759
13083030,34012798,-117894565
13083445,34011814,-117904185
13083568,34010412,-117904330
13876218,33869327,-117886000
13880078,33840326,-117895947
13910109,33845184,-117960702
13920964,33811570,-117999631
13922014,33828024,-117896625
13980447,33625369,-117897913
13992486,33830928,-117953872
13993560,33825556,-117954139
13996803,33811661,-117934063
14006868,33797164,-117983259
14009444,33779080,-117973770
14030172,33736876,-117957534
14034873,33725789,-117923497
14065493,33698273,-118017754
14067796,33707319,-118025758
14069730,33708866,-118012268
14072216,33712330,-117958807
14077629,33720416,-118061564
14084562,33748460,-118007561
14088528,33747351,-118100747
14095292,33777276,-118043537
14096829,33783088,-118036720
14099075,33792894,-118024000
14119894,33843372,-118056423
14142600,33894552,-117963377
14142723,33890780,-117963082
14154973,33937597,-117906447
14163873,33900145,-117827265
14172203,33904130,-117853043
14195171,33866340,-117789729
14201567,33875886,-117725078
14213070,33837949,-117819735
14246797,33764127,-117819166
14254998,33755411,-117825803
14260214,33755886,-117882178
14265012,33696868,-117878033
14278942,33626156,-117910979
14293534,33653813,-117895158
14316113,33629642,-117853405
14321046,33638628,-117803164
14337256,33769328,-117786579
14339281,33860819,-117722317
14366202,33657421,-117687859
14368935,33631327,-117680460
14375270,33649757,-117690495
14378700,33627154,-117710880
14388131,33579233,-117701134
14391093,33577924,-117736880
14396132,33557022,-117693766
14431231,33480448,-117699791
14441651,33468815,-117689210
14446178,33434948,-117591515
14448327,33446464,-117638973
14460432,33573314,-117583145
14480163,33594544,-117626345
14480263,33589629,-117639048
14480432,33617438,-117585924
14480785,33618737,-117572027
14487844,33604007,-117647285
14492101,33620721,-117669764
14501480,33643509,-117621804
17292856,34125457,-118891074
11171690,34410577,-118567648
11323451,34585525,-118164479
14323393,33666449,-117778338
14350612,33722875,-117744512
13053431,34137483,-117698951
14162822,33907127,-117829078
14408223,33529145,-117669972
14461714,33559994,-117583250
13936325,33798067,-117932202
17250351,34266697,-118676444
14066675,33690583,-118000012
11319763,34636983,-118250308
11306729,34695188,-118184505
11307372,34680117,-118205613
11324650,34567659,-118172881
17187945,34209796,-119019275
11216644,34575294,-118006841
17057305,34453936,-119226839
17087760,34274240,-119218179
17090279,34286107,-119190157
17117708,34224217,-119188625
17127580,34230820,-119065042
17136715,34237440,-119026468
17136815,34234713,-119030859
17143817,34227289,-118997972
17161962,34201832,-119167263
17171118,34150266,-119214635
17173376,34157410,-119191626
17180866,34166820,-119174470
17206103,34298479,-118859959
17214644,34186726,-118903039
17221825,34248135,-118819567
17223813,34233742,-118860532
17224631,34225972,-118834850
17228772,34281574,-118767597
17243957,34278468,-118773496
17249548,34268336,-118663942
17251977,34259672,-118744974
17265842,34179478,-118912668
17290419,34193839,-118819559
10735049,34176607,-118652044
10735249,34171513,-118653792
10749958,34141517,-118749376
10757417,34155705,-118625344
10767017,34215894,-118578137
10767769,34217074,-118580582
10771670,34206714,-118581290
10777179,34206287,-118525629
10779521,34182310,-118520064
10794525,34191966,-118582322
10806881,34160852,-118573511
10814303,34149740,-118543714
10854474,34163161,-118479111
10868096,34140236,-118485003
10877636,34205987,-118372890
10882849,33989975,-118425930
10904491,34156762,-118429441
10915596,34135644,-118380181
10925330,34187344,-118353859
10947895,34198587,-118318019
10971922,34311464,-118419946
10993918,34265359,-118287559
11010955,34318018,-118478424
11011001,34315539,-118477209
11025663,34238311,-118420136
11058266,34269561,-118497433
11061966,34223271,-118488354
11076456,34259536,-118602607
11087559,34252357,-118604007
11137653,34361497,-118550943
11139844,34375801,-118549122
11178008,34452141,-118622184
11184944,34627129,-118226293
11185044,34627395,-118227936
11200223,34562118,-118103070
11212106,34573382,-118035556
11212206,34563176,-118026850
11213104,34573356,-118040335
11215397,34566456,-118015629
11231305,34550413,-118041964
11235323,34544227,-118073989
11236222,34554160,-118061356
11249965,34615483,-117817775
11250977,34588371,-117837494
11285608,34675373,-118138225
11429395,33910035,-118318949
11438411,33883293,-118344121
11479082,33927881,-118398317
11527084,34006851,-118409264
11529259,33991010,-118399655
11580565,34035021,-118492585
11586465,34008064,-118467805
11602482,34047333,-118391770
11610063,34036632,-118413478
11619336,34058055,-118428722
11647488,34069853,-118459296
11658403,34069022,-118473335
11660030,34061658,-118486506
11661778,34047309,-118510148
11668995,34048303,-118522205
11669378,34044096,-118518154
11669501,34042934,-118519037
11670666,34068249,-118469723
11686285,34016233,-118802894
11709217,34007928,-118317625
11724387,34020537,-118338656
11729362,34029665,-118315080
11735393,34038605,-118337573
11737161,34037045,-118358134
11738197,34032539,-118377181
11765824,33999773,-118273914
11769554,34006415,-118246669
11856071,34046125,-118097682
11857585,34045807,-118103709
11864753,34071365,-118101144
11874371,34083854,-118193236
11892272,34118241,-118093598
11912767,34106584,-118108583
11921987,34129799,-118090898
11925769,34123131,-118059325
11930033,34098687,-118068469
11955902,34089095,-118211213
11975186,34129980,-118183768
11988800,34077856,-118369413
11989106,34073187,-118326893
11989666,34069963,-118316644
11995868,34077650,-118334531
12019399,34098985,-118374154
12034459,34113579,-118305318
12052578,34172613,-118280825
12075254,34194075,-118201904
12101910,34130003,-118136249
12109158,34160160,-118126574
12129632,34170930,-118041323
12132419,34166573,-118056128
12137996,34135088,-118055141
12146805,34112032,-118022668
12163715,34189735,-118147578
12165499,34177849,-118139273
12166067,34183869,-118136930
12166450,34190304,-118139470
12174223,34176759,-118099776
12182527,33982186,-118287050
12194453,33969208,-118305581
12223246,33946243,-118305572
12265571,33901729,-118246913
12266331,33904801,-118237914
12269083,33922495,-118252129
12298777,33962814,-118224935
12320859,33938088,-118166617
12328951,33939923,-118140881
12342028,33891994,-118160913
12401655,33886781,-118005258
12413565,33871792,-118046031
12414149,33861765,-118044082
12434881,33823278,-118095812
12439095,33815842,-118072129
12470856,33846683,-118154536
12475663,33867407,-118144190
12493988,33822958,-118118544
12495449,33813618,-118126546
12510018,33798419,-118142158
12513905,33789778,-118126434
12516056,33803508,-118117763
12519636,33794143,-118092830
12533325,33766934,-118135523
12590292,33820207,-118291984
12608492,33820218,-118322471
12621695,33809624,-118297053
12629111,33773570,-118276977
12644601,33746676,-118301957
12655536,33717573,-118288576
12657405,33720557,-118303405
12666722,33827885,-118377135
12682981,33801014,-118351063
12683050,33803753,-118356103
12695215,33786009,-118314215
12699507,33746112,-118321388
12708176,33758932,-118392205
12734102,33912454,-117993080
12739960,33908157,-118026928
12740396,33910717,-118032515
12754296,33897628,-118069353
12755348,33896446,-118080069
12801961,33974630,-118053060
12849154,33969519,-117887757
12867092,34105090,-117717012
12877292,34041754,-117730851
12883229,34071454,-117750625
12886562,34037046,-117755355
12908526,34078093,-117824183
12911036,34097867,-117842652
12913152,34099671,-117878426
12936871,34073474,-117908807
12942421,34052042,-117963142
12946678,34043552,-117953244
12954387,34051310,-117913452
12967668,34161656,-117999503
12972976,34124665,-117986282
12976863,34094610,-118003821
12983567,34077410,-118017147
12996823,34087171,-118021374
13010095,34090180,-118064101
13034042,34127768,-117867649
13040966,34126093,-117829247
13066851,34034407,-117761676
13078594,34020366,-117859562
13834623,33762799,-117892434
13837586,33768617,-117859142
13844137,33733492,-117879565
13850164,33942224,-117963581
13850862,33943010,-117939901
13854625,33922047,-117941769
13866505,33884409,-117931831
13869812,33873241,-117952521
13879588,33844089,-117895060
13882822,33832988,-117906621
13890219,33624343,-117917087
13897530,33434457,-117614533
13902898,33889207,-117992000
13903894,33840134,-118022929
13905008,33835642,-118015397
13921065,33810930,-117998523
13926295,33779292,-118083013
13927148,33794288,-118085804
13930081,33786618,-117947436
13945511,33766712,-117988213
13954483,33761843,-117943186
13958292,33749042,-117927276
13961909,33741273,-117806090
13971128,33741297,-117940185
13980986,33630003,-117894018
13989556,33824241,-117968894
13995272,33812192,-117951465
14037322,33737801,-118016563
14066914,33711197,-118023315
14067536,33713874,-118030099
14071207,33704319,-118017531
14081436,33728171,-118064802
14087106,33752723,-117924442
14091474,33770797,-118021637
14096999,33779248,-118040855
14106778,33812262,-118035130
14126509,33851097,-118013233
14129543,33843809,-117873796
14133857,33886687,-117967728
14138117,33902370,-117904069
14146254,33914745,-117935601
14147359,33901386,-117921730
14160407,33920921,-117871385
14168323,33889652,-117830343
14181609,33877120,-117849109
14185655,33877449,-117823225
14187088,33871740,-117818502
14195003,33889270,-117774029
14198401,33889894,-117762559
14199015,33888049,-117766313
14199606,33880118,-117759858
14203317,33861516,-117749678
14212764,33829025,-117818788
14227654,33807511,-117843915
14234661,33799915,-117822435
14244124,33789500,-117776341
14252599,33762953,-117882219
14253415,33755463,-117840459
14262312,33724963,-117898939
14286117,33725915,-117822547
14294436,33636323,-117876992
14296412,33620457,-117864061
14300167,33695736,-117774299
14314602,33606531,-117866120
14322910,33661692,-117781072
14350351,33741280,-117767987
14362836,33684278,-117650832
14363867,33682314,-117627960
14372719,33645890,-117706383
14377073,33617521,-117708420
14393085,33559653,-117730890
14395073,33557098,-117705018
14406471,33510888,-117662053
14406724,33519610,-117681484
14416150,33543333,-117697394
14435286,33463216,-117645162
14451682,33412213,-117609358
14478927,33598007,-117643023
14480694,33620998,-117579875
14483626,33639664,-117623460
14486769,33605493,-117651070
14497270,33649568,-117594736
14500535,33643686,-117637282
14502788,33649493,-117611948
14503794,33644358,-117648048
17138354,34237598,-119013229
12712549,33759999,-118387163
13996590,33831540,-117956003
14461093,33567688,-117582409
17084114,34266765,-119228124
11178590,34455088,-118630690
11186088,34627570,-118210116
10979527,34301903,-118416234
14464607,33556231,-117633424
11186607,34622407,-118194884
17130243,34234163,-119013913
14135244,33885406,-117958149
14456778,33554238,-117642991
13894075,33593179,-117870093
11115170,34437739,-118555334
11323686,34569416,-118175264
13956127,33767162,-117931032
17092376,34274892,-119181569
11232876,34545561,-118039067
13851178,33944623,-117956288
14069005,33710921,-118046997
17071506,34299793,-119208124
17087071,34282485,-119210532
17087738,34270591,-119224520
17088153,34275951,-119217379
17115663,34263361,-119209395
17131641,34213575,-119051915
17136078,34221463,-119030542
17141405,34227874,-118992273
17168389,34167094,-119177422
17182255,34180595,-119147619
17223133,34238428,-118814578
17225628,34228625,-118793376
17228090,34283400,-118735036
17233813,34279931,-118721229
17244634,34273321,-118762477
17247128,34258195,-118738765
17248807,34250952,-118766273
17264167,34176069,-118934757
17267703,34183318,-118935788
17277170,34174008,-118910325
17278651,34219020,-118863948
17286996,34244342,-118790995
17291210,34195497,-118805445
10719832,34205022,-118617559
10720461,34204002,-118607551
10724427,34204269,-118650844
10728123,34192089,-118650000
10781546,34194391,-118541947
10850140,34175023,-118517018
10872306,34218878,-118416132
10873619,34209902,-118398878
10880407,34197820,-118390306
10884566,34197298,-118427862
10909396,34143822,-118374481
10916979,34127886,-118390034
10933274,34149988,-118348878
10935980,34173843,-118354131
10960178,34161479,-118336754
10980350,34282069,-118411776
10984360,34280213,-118407194
10987297,34269070,-118404316
11013136,34282553,-118483884
11017535,34293377,-118466020
11035467,34239450,-118435081
11051960,34256686,-118483036
11063177,34248881,-118503196
11092960,34239145,-118515947
11094454,34234367,-118538289
11097012,34222950,-118583656
11104830,34418180,-118469629
11105099,34421830,-118467762
11106767,34425011,-118492923
11129043,34283324,-118556247
11152563,34401838,-118467383
11163336,34383549,-118548086
11200620,34574448,-118107056
11201397,34580773,-118106918
11204668,34572481,-118090842
11206077,34568540,-118070313
11207092,34571623,-118069605
11211861,34576121,-118054851
11212307,34562939,-118029347
11230773,34525754,-117997781
11249090,34629565,-117815556
11262795,34649024,-118213135
11281525,34670066,-118161928
11286298,34688787,-118138158
11299983,34695913,-118076927
11300104,34676423,-118078979
11301536,34692818,-118091372
11343508,34458052,-118526993
11344200,34453734,-118514679
11369395,34755708,-117912606
11413369,33933164,-118332252
11448899,33859793,-118315412
11462468,33963507,-118426968
11494185,33859836,-118382024
11497657,33882104,-118378062
11499482,33891855,-118391874
11504451,33900658,-118403703
11513334,33856043,-118386081
11522849,34008826,-118399700
11536149,33984601,-118464451
11541801,33992455,-118419561
11555954,34030598,-118428806
11559262,34037406,-118422438
11580397,34039802,-118497120
11589378,33999814,-118474640
11599269,34039958,-118384051
11628108,34065807,-118386459
11660845,34055527,-118495719
11662528,34033459,-118514803
11679266,34038229,-118652626
11690418,34042552,-118908236
11691564,34081102,-118509273
11710629,34006373,-118329351
11715305,34018816,-118325433
11715858,34017207,-118320727
11739645,34041491,-118343256
11755659,34058412,-118354247
11798936,34052689,-118207566
11814568,34063904,-118187839
11822109,34050941,-118183129
11840258,34067883,-118123911
11842772,34058300,-118128579
11851522,34025063,-118134783
11882403,34112995,-118144296
11884905,34102312,-118136799
11888665,34129043,-118127328
11889003,34123060,-118110424
11934845,34073314,-118263191
11941650,34087860,-118266674
11946874,34090708,-118267387
11946897,34092176,-118266627
11974935,34132630,-118188183
11978851,34111262,-118185127
12022532,34100292,-118386553
12046586,34200022,-118226388
12047291,34187856,-118228867
12050222,34184735,-118283659
12059097,34168635,-118263180
12060674,34158504,-118273268
12126825,34164843,-118069329
12128808,34169694,-118056303
12134749,34156174,-118026408
12137674,34135296,-118065035
12146460,34115239,-118020225
12147289,34118692,-118016813
12153057,34215197,-118203103
12155967,34207228,-118179480
12158058,34191004,-118162914
12158273,34182106,-118155736
12178807,34240324,-118224986
12189265,33976751,-118274653
12221059,33948049,-118264938
12225889,33939746,-118302054
12229498,33940846,-118236195
12245194,33881786,-118305802
12257745,33907641,-118267994
12258640,33920458,-118279047
12268219,33917854,-118248071
12269038,33921490,-118249706
12292342,33920695,-118197263
12309500,33958533,-118199446
12377346,34013398,-118095277
12377659,34008280,-118092327
12381614,33990360,-118119612
12385555,33953844,-118119756
12392184,33995966,-118075700
12396515,33976550,-118090605
12408313,33885383,-118086150
12415109,33858858,-118057223
12425220,33852703,-118072846
12436972,33817881,-118076774
12439542,33818302,-118091476
12459218,33844716,-118190940
12462074,33835857,-118170767
12471380,33845462,-118149765
12473939,33850664,-118159696
12474719,33854801,-118149820
12484043,33848374,-118128680
12495027,33817142,-118130199
12497525,33808834,-118202854
12524923,33776502,-118127290
12526881,33757498,-118119779
12562991,33884871,-118193255
12569139,33808840,-118209872
12610128,33812946,-118315105
12612569,33793342,-118318072
12617139,33799918,-118211572
12672373,33835232,-118362556
12708369,33749203,-118389902
12724204,33921734,-118094459
12724918,33919812,-118087596
12746796,33907040,-118082947
12748335,33906720,-118032343
12750268,33897014,-117990745
12757023,33896917,-118100697
12762774,33889238,-118003243
12781401,33991218,-118060488
12842042,34026781,-117921964
12843585,33978424,-117908373
12863302,34119112,-117743497
12890858,34069223,-117764369
12907293,34115543,-117802695
12912579,34097994,-117867478
12915055,34103884,-117914847
12915960,34102748,-117918029
12920168,34098361,-117895854
12922629,34087828,-117857384
12944869,34060382,-117933292
12944907,34060620,-117933863
12956163,34045593,-117897010
12982573,34088806,-118011559
12987419,34077881,-117981755
12992464,34052807,-117979368
12995541,34077059,-118031659
13002493,34069727,-118035853
13003511,34068588,-118053949
13011404,34076626,-118057322
13044566,34135694,-117825813
13064950,34036860,-117795783
13081521,34012125,-117872574
13086646,34021170,-117892318
13094683,34042255,-117926822
13097929,33990427,-117894515
13101846,33982738,-117846370
13844714,33727985,-117879182
13848052,33722814,-117879070
13853096,33938206,-117970471
13858200,33676598,-117999608
13858353,33674435,-117999689
13859028,33668700,-118011358
13860683,33681602,-118023695
13864851,33679886,-117993321
13906981,33852136,-117985358
13907511,33840528,-117990301
13919367,33821034,-118001971
13942099,33761219,-117990550
13953102,33768625,-117943948
13960070,33766277,-117899201
13970377,33743348,-117937883
13980426,33628545,-117899687
13989158,33828432,-117968812
13996424,33812264,-117955206
14018842,33689401,-117928114
14035597,33729146,-117933275
14039722,33723592,-118036236
14042202,33722944,-118019084
14060810,33693795,-117955810
14064040,33698845,-117987663
14077319,33714579,-117939304
14097023,33781397,-118037231
14118993,33837313,-117926540
14140123,33888729,-117911944
14142802,33889264,-117959734
14159360,33920450,-117890567
14173862,33900313,-117877477
14180681,33875583,-117857169
14218785,33843193,-117751631
14219921,33815794,-117775327
14225034,33817780,-117837737
14230221,33809057,-117822177
14231287,33807130,-117825857
14236118,33791167,-117837515
14238946,33781117,-117837996
14242259,33782767,-117809575
14254119,33755148,-117823153
14274632,33649627,-117938476
14279779,33628259,-117917408
14287570,33727400,-117815000
14311309,33662443,-117799706
14313704,33602967,-117856407
14320249,33629843,-117810919
14333085,33744971,-117786958
14336382,33770226,-117769023
14348320,33724643,-117760592
14365366,33658239,-117696421
14365466,33656407,-117693922
14390384,33574023,-117681355
14394851,33562277,-117704209
14410149,33504321,-117702447
14424841,33489287,-117638730
14433354,33491097,-117691295
14434069,33494554,-117695045
14445636,33419598,-117604022
14460887,33563194,-117589263
14472327,33596369,-117651024
14502282,33647152,-117619245
14505447,33657778,-117646407
10715682,34215342,-118615076
12141224,34127223,-118014469
17105813,34245288,-119089407
11266007,34646316,-118178497
14321929,33624900,-117799155
11347358,34460681,-118502103
12894645,34098370,-117738528
17268700,34146490,-118852332
14292727,33657588,-117890622
14353698,33697842,-117761110
14458899,33535481,-117636355
11174901,34499745,-118620851
11306039,34686733,-118202927
11307094,34689121,-118216697
11318081,34681312,-118238307
11318052,34676065,-118240678
17175065,34147924,-119192232
14455490,33484431,-117584579
14208612,33859120,-117769296
11232852,34544033,-118041208
12633004,33786880,-118252355
12273354,33910590,-118233884
12973727,34120338,-117985629
14306949,33680068,-117782078
17053500,34437938,-119264085
17057118,34443929,-119217146
17082436,34277397,-119249831
17090166,34293436,-119167866
17094378,34282196,-119162168
17127828,34235840,-119061247
17137700,34240795,-119017366
17144126,34235428,-118971881
17145652,34226364,-119197801
17165442,34184226,-119191924
17176573,34207110,-119147092
17177161,34209039,-119167294
17193926,34171954,-118984905
17201149,34266569,-118882074
17206989,34296760,-118854272
17209035,34216736,-118897039
17221340,34269713,-118806375
17221751,34267861,-118796164
17224144,34228978,-118849380
17232057,34280367,-118675017
17261821,34267902,-118689891
10731473,34179506,-118615413
10732307,34173398,-118615507
10758576,34152194,-118619959
10768677,34218960,-118592262
10770972,34208008,-118589148
10775830,34203633,-118539930
10778463,34192589,-118518476
10780998,34200122,-118541997
10786210,34191555,-118559230
10789066,34198596,-118581703
10789173,34198604,-118583000
10797254,34185343,-118566179
10805781,34166505,-118546869
10810050,34151116,-118601994
10817036,34155182,-118529083
10825394,34213122,-118433612
10860883,34152504,-118434900
10861807,34143763,-118445842
10867783,34140599,-118486728
10872445,34217651,-118416924
10881355,34193105,-118392633
10894658,34168993,-118427601
10895287,34169759,-118419798
10913401,34149653,-118408183
10915277,34140487,-118373158
10918355,34143792,-118416203
10924204,34210814,-118366907
10935232,34126392,-118345855
10956921,34170585,-118345861
10974083,34292602,-118422180
10977163,34286430,-118447135
10990488,34253533,-118342549
10996479,34260538,-118292657
11006018,34237564,-118275726
11013237,34280298,-118486824
11016009,34287449,-118491003
11018400,34278632,-118448049
11056210,34262922,-118491830
11059280,34252677,-118493054
11063224,34246961,-118506810
11065365,34274320,-118505543
11099699,34221431,-118561077
11101645,34224013,-118527279
11101881,34224348,-118529569
11139226,34372809,-118534770
11148642,34425730,-118433817
11152733,34395612,-118469172
11175226,34499402,-118631950
11180473,34279758,-118540543
11183385,34606727,-118188538
11184532,34611511,-118183013
11188483,34600680,-118167824
11190032,34599159,-118160216
11212285,34564067,-118028840
11212560,34571676,-118025223
11260379,34635050,-118215242
11270122,34661608,-118190086
11271289,34669586,-118180233
11275358,34707508,-118160325
11278330,34702074,-118159727
11287602,34710535,-118141781
11296518,34699224,-118107320
11296618,34694173,-118094867
11304741,34682698,-118186540
11314411,34709010,-118124905
11316925,34687925,-118239338
11320322,34651692,-118248250
11374435,34716259,-117689419
11393822,33977482,-118322380
11402707,33988245,-118346273
11402806,33987692,-118350200
11417884,33933400,-118364630
11437723,33888062,-118340354
11446713,33874610,-118335733
11455921,33969830,-118383196
11495528,33862548,-118384505
11537177,33985530,-118449135
11537688,34061288,-118239592
11544801,33995622,-118439283
11553898,34011554,-118432655
11602706,34050905,-118399380
11609942,34037870,-118415352
11611321,34054141,-118420243
11612728,34048202,-118428753
11613729,34039806,-118434451
11621544,34061591,-118419778
11636235,34082846,-118398678
11683516,34040089,-118769606
11688789,34030860,-118844114
11693830,33995918,-118285239
11699634,33998414,-118354253
11711143,34019911,-118362630
11711366,34019618,-118358626
11734280,34033317,-118331451
11739768,34041088,-118347190
11765078,34001828,-118268078
11809958,34083818,-118199709
11839339,34043128,-118145956
11855767,34042512,-118124441
11880166,34109783,-118157560
11883482,34110291,-118146964
11884471,34106096,-118136676
11911470,34090512,-118105392
11911785,34088579,-118103034
11913803,34110063,-118112659
11918574,34084840,-118083444
11965631,34102701,-118207435
11970677,34115221,-118219949
11973353,34120238,-118192846
11975142,34130806,-118183068
11996274,34085121,-118345990
12022617,34099293,-118389897
12026027,34115511,-118363804
12026073,34106689,-118362603
12027388,34106496,-118354986
12035796,34108683,-118295659
12037477,34107831,-118284064
12080932,34142404,-118206368
12087226,34135397,-118221890
12090360,34137765,-118197071
12108062,34162797,-118133545
12108177,34165640,-118135377
12121131,34142699,-118094419
12129114,34169716,-118044545
12166046,34185406,-118138616
12168744,34191148,-118117234
12200362,33961347,-118236161
12222505,33947024,-118279828
12224786,33948636,-118316511
12226890,33940935,-118290062
12239506,33925293,-118270402
12260022,33912940,-118255547
12273567,33909668,-118232138
12278018,33881844,-118220468
12278521,33884516,-118207054
12279003,33901511,-118222194
12300069,33952414,-118212037
12336118,33921035,-118151411
12343458,33895499,-118127322
12349338,33914302,-118118266
12363170,33976849,-118207751
12379157,34001473,-118112268
12388589,33963984,-118109367
12396862,33970355,-118089615
12415072,33863561,-118057006
12420695,33856591,-118053222
12426562,33841514,-118063705
12430375,33837549,-118106531
12430575,33837609,-118103093
12431636,33832443,-118096137
12470389,33843946,-118159785
12474843,33854523,-118148700
12480549,33863167,-118128759
12486864,33849448,-118109929
12496996,33814838,-118111427
12514691,33794383,-118113204
12515236,33797623,-118119853
12518071,33797920,-118101115
12529726,33770696,-118122477
12561857,33768900,-118186000
12581774,33811124,-118283167
12596910,33837533,-118338831
12616910,33802195,-118208797
12659747,33853791,-118385861
12673381,33844258,-118373878
12684857,33799262,-118358255
12687701,33771095,-118414610
12708600,33757621,-118358908
12731899,33922755,-117999218
12745844,33907279,-118097573
12751076,33892255,-117995122
12751998,33900736,-118005492
12752421,33901527,-117995837
12758851,33893621,-118090485
12776491,34017489,-118071148
12791254,33946541,-118016879
12819733,34006876,-117967315
12822894,33948037,-117994047
12823354,33942449,-118007412
12841044,34043946,-117942720
12846094,33948732,-117934315
12863234,34117583,-117745207
12868970,34091307,-117718011
12881686,34065645,-117744970
12895279,34100325,-117743858
12898870,34099085,-117762707
12900546,34115410,-117777193
12908236,34079801,-117833616
12908943,34087907,-117822625
12928072,34082300,-117948345
12936389,34075182,-117899519
12937757,34075992,-117926789
12945222,34057691,-117942256
12951826,34057857,-117913291
12965384,34147737,-117991048
12965407,34146786,-117991115
12965583,34147514,-117985773
12965875,34151753,-117992817
12969957,34134544,-117977004
12987566,34079847,-117971917
13006366,34104792,-118043568
13013426,34141594,-117951502
13017839,34127664,-117900555
13039120,34139977,-117848606
13061611,34037590,-117776216
13070806,34055343,-117842782
13081745,34005789,-117873667
13083525,34011290,-117901101
