zipcode,daily commute time,violent_crime_index,property_crime_index,Provider ID,Hospital Name,Location,State,County Name,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,schoolid,schoolname,lat,lng,schoollevel,schooltype,average score,teacher student ratio,enrollment,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310940.0,Martha Baldwin Elementary,34.084961,-118.115948,Elementary,public,85.85,27.3,1106.0,60.2,0.72,69.71,27.76,0.63,0.9,0.28
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310942.0,Park Elementary,34.095328,-118.14292900000001,Elementary,public,77.01,26.1,752.0,69.1,0.8,35.77,55.59,3.59,3.99,0.26
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310945.0,William Northrup Elementary,34.086263,-118.13501000000001,Elementary,public,53.65,22.2,646.0,81.9,0.31,41.18,54.8,1.86,1.24,0.61
91803,30.0,33.5,41.9,,,,,,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2.0,60015310935.0,Emery Park Elementary,34.088059,-118.154678,Elementary,public,62.97,22.1,454.0,71.6,1.32,12.33,79.96,3.08,3.08,0.23
91803,30.0,33.5,41.9,,,,,,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2.0,60015310936.0,Fremont Elementary,34.070686,-118.150861,Elementary,public,48.54,21.6,601.0,71.0,1.33,22.8,71.38,2.83,1.16,0.5
91803,30.0,33.5,41.9,,,,,,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2.0,60015310939.0,Marguerita Elementary,34.074945,-118.138476,Elementary,public,69.11,24.8,679.0,68.2,0.15,48.6,46.1,1.62,3.53,0.0
91803,30.0,33.5,41.9,,,,,,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2.0,60015310943.0,Ramona Elementary,34.076196,-118.128616,Elementary,public,77.06,26.0,876.0,75.5,0.46,57.42,39.5,1.03,1.48,0.11
91001,31.0,25.3,31.5,,,,,,"85,655","37,528",41.3,36.3,23.7,5.3,30.6,4.1,,,,,,,,,,,,,,,,
91006,30.0,19.6,28.2,50238.0,METHODIST HOSPITAL OF SOUTHERN CA,"300 W HUNTINGTON DR ARCADIA, CA 91006 (34.134862, -118.042446)",CA,LOS ANGELES,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,60297000228.0,First Avenue Middle,34.136245,-118.02896499999999,Middle,public,94.87,26.7,786.0,21.0,2.29,70.48,14.25,11.45,1.27,0.26
91006,30.0,19.6,28.2,50238.0,METHODIST HOSPITAL OF SOUTHERN CA,"300 W HUNTINGTON DR ARCADIA, CA 91006 (34.134862, -118.042446)",CA,LOS ANGELES,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,60297000229.0,Foothills Middle,34.153356,-118.02575300000001,Middle,public,96.96,24.0,742.0,15.8,2.29,62.67,14.02,20.08,0.94,0.0
91006,30.0,19.6,28.2,50238.0,METHODIST HOSPITAL OF SOUTHERN CA,"300 W HUNTINGTON DR ARCADIA, CA 91006 (34.134862, -118.042446)",CA,LOS ANGELES,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,60297000230.0,Highland Oaks Elementary,34.159723,-118.03098500000002,Elementary,public,94.95,25.4,700.0,11.3,2.0,64.29,9.0,20.57,4.0,0.14
91006,30.0,19.6,28.2,50238.0,METHODIST HOSPITAL OF SOUTHERN CA,"300 W HUNTINGTON DR ARCADIA, CA 91006 (34.134862, -118.042446)",CA,LOS ANGELES,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,60297009302.0,Rancho Learning Center (Alternative),34.138166999999996,-118.023436,Alternative,public,21.97,11.8,42.0,19.0,4.76,35.71,42.86,11.9,4.76,0.01
91006,30.0,19.6,28.2,50238.0,METHODIST HOSPITAL OF SOUTHERN CA,"300 W HUNTINGTON DR ARCADIA, CA 91006 (34.134862, -118.042446)",CA,LOS ANGELES,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,60297000227.0,Richard Henry Dana Middle,34.12401,-118.02944,Middle,public,95.44,23.9,728.0,24.2,1.51,71.84,13.74,11.81,1.1,-0.0
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000223.0,Arcadia High,34.130043,-118.03876899999999,High,public,92.03,25.6,3385.0,21.2,2.1,68.04,14.3,13.88,1.39,0.29
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000224.0,Baldwin Stocker Elementary,34.117861,-118.047172,Elementary,public,96.61,26.6,692.0,15.8,1.01,82.37,6.94,6.5,3.18,-0.0
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000226.0,Camino Grove Elementary,34.124955,-118.01701399999999,Elementary,public,93.08,24.6,616.0,24.7,0.65,66.4,17.21,12.99,2.6,0.15
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000231.0,Holly Avenue Elementary,34.127094,-118.045239,Elementary,public,94.1,26.4,727.0,25.3,1.24,67.4,16.92,12.24,2.06,0.14
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000232.0,Hugo Reid Elementary,34.137602,-118.06366000000001,Elementary,public,93.13,28.9,607.0,22.9,1.81,58.32,22.08,14.0,3.62,0.17
91007,32.0,26.0,35.3,,,,,,"72,255","34,357",43.8,23.7,2.0,57.8,12.1,4.4,60297000233.0,Longley Way Elementary,34.10892,-118.041903,Elementary,public,94.38,26.1,483.0,24.0,1.04,70.6,17.6,8.9,1.04,0.82
90701,27.0,38.4,44.8,,,,,,"60,544","16,912",39.1,19.5,3.8,36.0,38.1,2.6,60162000005.0,Burbank (Luther) Elementary,33.870233,-118.087847,Elementary,public,69.82,26.8,511.0,58.9,9.2,23.29,54.79,7.24,4.5,0.98
90701,27.0,38.4,44.8,,,,,,"60,544","16,912",39.1,19.5,3.8,36.0,38.1,2.6,60162000019.0,Kennedy (John F.) Elementary,33.872054,-118.070298,Elementary,public,64.8,24.4,476.0,50.2,8.82,32.14,43.91,10.08,4.41,0.64
90701,27.0,38.4,44.8,,,,,,"60,544","16,912",39.1,19.5,3.8,36.0,38.1,2.6,60162000023.0,Niemes (John H.) Elementary,33.879148,-118.086428,Elementary,public,39.64,27.0,702.0,75.1,3.7,8.83,81.62,2.14,2.71,1.0
90701,27.0,38.4,44.8,,,,,,"60,544","16,912",39.1,19.5,3.8,36.0,38.1,2.6,60162000012.0,Ross (Faye) Middle,33.870246,-118.07778400000001,Middle,public,66.52,22.6,571.0,64.8,9.11,22.07,59.54,5.95,1.75,1.58
90704,0.0,43.3,50.5,51307.0,CATALINA ISLAND MEDICAL CENTER,"100 FALLS CANYON ROAD AVALON, CA 90704 (33.339079, -118.330477)",CA,LOS ANGELES,"55,882","3,940",34.9,27.8,0.3,0.5,69.8,1.6,,,,,,,,,,,,,,,,
91702,28.0,37.6,43.2,,,,,,"54,769","61,739",28.7,18.0,2.4,8.8,68.8,2.0,60360000268.0,Azusa High,34.125523,-117.89761299999999,High,public,52.66,20.4,1289.0,75.8,1.71,2.64,91.7,3.18,0.47,0.3
91702,28.0,37.6,43.2,,,,,,"54,769","61,739",28.7,18.0,2.4,8.8,68.8,2.0,60360000269.0,Center Middle,34.112558,-117.898448,Middle,public,25.35,18.9,479.0,84.6,1.25,2.71,93.95,1.25,0.84,0.0
91702,28.0,37.6,43.2,,,,,,"54,769","61,739",28.7,18.0,2.4,8.8,68.8,2.0,60360000277.0,Charles H. Lee Elementary,34.131039,-117.89916200000002,Elementary,public,37.48,24.4,342.0,90.6,1.46,1.17,93.27,2.92,0.88,0.3
91706,31.0,38.4,42.7,50723.0,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,"1011 BALDWIN PARK BLVD BALDWIN PARK, CA 91706 (34.064642, -117.984646)",CA,LOS ANGELES,"51,234","77,819",31.9,3.5,1.2,16.1,78.1,1.1,,,,,,,,,,,,,,,,
90201,31.0,59.0,64.4,,,,,,"37,013","102,878",28.2,3.0,0.7,0.6,95.4,0.3,,,,,,,,,,,,,,,,
90706,30.0,46.1,51.6,,,,,,"49,360","77,852",32.3,19.1,13.7,11.0,54.2,2.0,60444005836.0,Albert Baxter Elementary,33.897962,-118.140286,Elementary,public,62.55,25.4,484.0,81.8,9.71,6.2,78.51,4.34,0.83,0.41
90706,30.0,46.1,51.6,,,,,,"49,360","77,852",32.3,19.1,13.7,11.0,54.2,2.0,60444005832.0,Bellflower Alternative Education Center,33.882540999999996,-118.13434,Alternative,public,17.06,4.6,14.0,78.6,7.14,0.0,92.86,0.0,0.0,0.0
90706,30.0,46.1,51.6,,,,,,"49,360","77,852",32.3,19.1,13.7,11.0,54.2,2.0,60444000396.0,Bellflower High,33.895253000000004,-118.114671,High,public,50.85,21.2,2546.0,74.7,10.88,6.05,76.79,4.01,1.06,1.21
90210,25.0,18.2,28.9,,,,,,"138,750","20,016",46.8,82.4,1.2,6.7,6.7,3.0,60483000473.0,El Rodeo Elementary,34.067837,-118.416475,Elementary,public,93.86,16.4,643.0,7.8,3.42,9.64,6.07,77.14,3.27,0.46
90210,25.0,18.2,28.9,,,,,,"138,750","20,016",46.8,82.4,1.2,6.7,6.7,3.0,60483000474.0,Hawthorne Elementary,34.078986,-118.40392,Elementary,public,88.41,16.8,620.0,8.4,1.45,11.45,7.42,75.32,3.71,0.65
90211,25.0,34.5,47.3,,,,,,"69,942","8,019",40.3,78.3,1.5,11.9,5.9,2.4,60000113785.0,Albert Einstein Academy for Ltrs Arts & Scis - Odyssey,34.07185,-118.385251,Alternative,charter,18.22,20.0,221.0,18.6,10.41,7.24,11.76,58.37,11.76,0.46
90211,25.0,34.5,47.3,,,,,,"69,942","8,019",40.3,78.3,1.5,11.9,5.9,2.4,60483000475.0,Horace Mann Elementary,34.065371,-118.382122,Elementary,public,87.65,15.1,533.0,10.3,4.32,15.38,11.26,61.73,6.57,0.74
90212,24.0,33.5,46.3,,,,,,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,60483000471.0,Beverly Hills High,34.061681,-118.41223899999999,High,public,92.84,17.5,1482.0,7.4,2.63,14.24,7.56,73.28,1.89,0.4
90212,24.0,33.5,46.3,,,,,,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,60483000472.0,Beverly Vista Elementary,34.063956,-118.394345,Elementary,public,89.02,18.1,710.0,8.0,2.54,10.0,7.75,73.1,6.48,0.13
90212,24.0,33.5,46.3,,,,,,"84,516","13,207",42.2,73.2,2.4,10.7,6.4,7.3,60483000470.0,Moreno High (Continuation),34.063201,-118.41296899999999,High,public,12.45,6.1,11.0,27.3,0.0,9.09,27.27,63.64,0.0,-0.0
91008,35.0,21.4,27.2,,,,,,"98,315","1,191",37.4,56.4,2.1,25.8,13.1,2.6,61152001288.0,Royal Oaks STEAM Academy (K-7),34.145286999999996,-117.95234599999999,Elementary,public,74.49,24.6,493.0,57.6,3.85,17.85,55.38,14.4,7.3,1.22
91501,28.0,34.8,44.5,,,,,,"62,500","20,892",38.8,63.6,2.3,11.2,17.6,5.3,60645000574.0,Joaquin Miller Elementary,34.182885999999996,-118.29693,Elementary,public,84.11,25.4,776.0,44.2,1.8,7.47,18.04,66.75,5.67,0.27
91501,28.0,34.8,44.5,,,,,,"62,500","20,892",38.8,63.6,2.3,11.2,17.6,5.3,60645000567.0,Ralph Emerson Elementary,34.190538000000004,-118.30684099999999,Elementary,public,74.26,24.6,596.0,32.2,2.52,13.59,16.78,63.59,2.52,1.0
91502,27.0,54.0,64.5,,,,,,"40,208","11,645",36.4,49.1,2.4,9.2,35.4,3.9,60645000563.0,Burbank High,34.187272,-118.31321100000001,High,public,81.09,24.4,2582.0,34.8,2.59,9.37,28.51,55.46,3.76,0.31
91502,27.0,54.0,64.5,,,,,,"40,208","11,645",36.4,49.1,2.4,9.2,35.4,3.9,60645008013.0,Burbank Unified School District Community Day,34.17835,-118.304681,High,public,20.09,6.2,25.0,60.0,0.0,0.0,60.0,32.0,8.0,0.0
91504,29.0,26.8,35.6,,,,,,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,60645000580.0,George Washington Elementary,34.198558,-118.335325,Elementary,public,66.61,22.2,500.0,57.2,2.6,11.8,45.0,37.2,2.6,0.8
91504,29.0,26.8,35.6,,,,,,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,60645000576.0,John Muir Middle,34.194977,-118.31174399999999,Middle,public,79.83,24.4,1399.0,35.7,2.5,11.08,21.16,62.33,2.72,0.21
91504,29.0,26.8,35.6,,,,,,"71,296","26,558",39.1,53.9,1.4,15.1,26.1,3.5,60645000569.0,Thomas Jefferson Elementary,34.198491,-118.32078999999999,Elementary,public,84.82,28.7,767.0,16.0,1.43,15.12,19.3,57.63,6.52,-0.0
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645000568.0,Bret Harte Elementary,34.180768,-118.34588500000001,Elementary,public,64.97,24.0,624.0,32.7,2.08,7.37,45.03,35.9,9.29,0.33
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645013886.0,Burbank Unified Independent Learning Academy (BUILA),34.178523999999996,-118.3512,High,public,70.31,,36.0,22.2,5.56,5.56,27.78,55.56,5.56,0.0
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645000571.0,Luther Burbank Middle,34.180601,-118.35189,Middle,public,61.79,23.2,1007.0,36.8,2.38,8.74,52.63,32.77,3.18,0.3
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645000577.0,Providencia Elementary,34.188722,-118.34494,Elementary,public,67.16,27.6,387.0,51.9,2.58,8.53,57.62,24.03,6.98,0.26
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645000579.0,R. L. Stevenson Elementary,34.159012,-118.33875900000001,Elementary,public,84.15,24.8,596.0,17.4,2.85,11.58,27.35,47.48,10.57,0.17
91505,28.0,31.3,40.5,50235.0,PROVIDENCE SAINT JOSEPH MEDICAL CTR,"501 SOUTH BUENA VISTA BURBANK, CA 91505 (34.157643, -118.327841)",CA,LOS ANGELES,"77,679","30,997",37.4,57.6,1.8,9.5,26.9,4.2,60645000578.0,Theodore Roosevelt Elementary,34.166388,-118.34471599999999,Elementary,public,86.64,27.2,653.0,13.8,1.38,7.96,27.57,53.29,8.88,0.92
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645000564.0,Burroughs High,34.170024,-118.32756299999998,High,public,80.9,24.0,2600.0,28.1,2.96,9.62,45.5,38.0,3.81,0.11
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645000570.0,David Starr Jordan Middle,34.165248,-118.31686699999999,Middle,public,65.68,23.2,1065.0,34.0,3.85,8.26,42.82,40.38,4.41,0.28
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645005849.0,Magnolia Park,34.166033,-118.343999,Alternative,public,4.91,7.5,18.0,50.0,0.0,0.0,38.89,55.56,0.0,5.55
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645008120.0,Monterey High (Continuation),34.186556,-118.33191000000001,High,public,17.75,15.2,149.0,32.2,2.68,4.03,57.05,34.23,2.01,-0.0
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645000566.0,Thomas Edison Elementary,34.177994,-118.33404099999998,Elementary,public,79.64,26.1,549.0,18.9,1.28,10.02,33.15,44.08,11.48,0.0
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645000565.0,Walt Disney Elementary,34.173433,-118.32078,Elementary,public,69.93,26.4,397.0,42.6,4.03,6.55,58.94,24.18,6.3,0.0
91506,28.0,32.4,40.9,,,,,,"70,408","18,245",42.8,55.9,1.3,10.8,26.8,5.2,60645000573.0,William McKinley Elementary,34.166398,-118.310551,Elementary,public,59.35,27.4,466.0,45.7,4.08,3.65,56.65,29.83,5.58,0.21
90747,0.0,20.6,35.8,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,62250009901.0,California Academy of Mathematics and Science,33.86645,-118.25713200000001,High,public,98.68,27.8,683.0,42.5,12.45,32.94,40.56,7.76,4.98,1.31
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100011298.0,Alice C. Stelle Middle,34.142675,-118.614223,Middle,public,87.28,22.8,807.0,8.2,2.35,7.93,5.82,81.41,1.73,0.76
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100002528.0,Arthur E. Wright Middle,34.133833,-118.703627,Middle,public,91.17,23.1,884.0,10.1,3.73,8.48,8.94,73.3,4.75,0.8
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100000442.0,Bay Laurel Elementary,34.140707,-118.65261699999999,Elementary,public,83.47,24.3,622.0,5.0,2.73,6.75,6.43,79.26,3.54,1.29
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100002519.0,Calabasas High,34.138933,-118.62803999999998,High,public,85.86,26.1,1999.0,7.7,4.3,5.75,9.1,77.69,2.1,1.06
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100002520.0,Chaparral Elementary,34.141586,-118.619565,Elementary,public,89.57,23.2,629.0,7.8,0.79,7.95,9.38,73.29,8.27,0.32
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,69107812804.0,Gonzales David Camp,34.087973,-118.708312,High,public,14.58,23.2,46.0,93.5,34.78,4.35,60.87,0.0,0.0,0.0
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100002523.0,Lupin Hill Elementary,34.16237,-118.69736999999999,Elementary,public,86.77,23.1,579.0,14.7,3.11,11.74,13.47,63.39,8.12,0.17
91302,34.0,17.6,23.2,,,,,,"121,715","26,500",43.6,77.6,2.0,8.9,6.2,5.3,62100002524.0,Round Meadow Elementary,34.153942,-118.66603300000001,Elementary,public,88.33,22.5,613.0,4.2,2.94,6.69,8.16,75.37,6.69,0.15
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271013040.0,Academies of Education and Empowerment at Carson High,33.823801,-118.27538200000001,High,public,54.23,20.2,559.0,75.8,15.74,21.47,54.03,2.5,1.25,5.01
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271013104.0,Academy of Medical Arts at Carson High,33.822655,-118.27423700000001,High,public,84.77,20.8,498.0,68.5,7.23,41.37,43.37,2.01,1.41,4.61
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271002896.0,Andrew Carnegie Middle,33.830315,-118.258776,Middle,public,21.31,22.5,908.0,79.5,22.8,16.3,50.44,3.19,2.09,5.18
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271002859.0,Bonita Street Elementary,33.828441,-118.2601,Elementary,public,39.93,21.6,542.0,73.8,12.55,23.06,46.68,5.9,3.14,8.67
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271002897.0,Caroldale Learning Community,33.822441999999995,-118.28308100000001,Elementary,public,49.55,24.0,938.0,71.2,9.81,27.29,48.83,3.62,4.48,5.97
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271002899.0,Carson Senior High,33.823734,-118.27476999999999,High,public,44.1,22.0,1439.0,73.7,19.53,18.69,53.72,2.5,1.11,4.45
90745,26.0,32.7,38.6,,,,,,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,62271002900.0,Carson Street Elementary,33.8322,-118.27551100000001,Elementary,public,60.52,24.3,729.0,75.7,8.23,21.81,51.3,10.01,1.92,6.73
